,Hydride Length,Material Orientation,Hydride Volume Fraction,Hydride Orientation,Hydride Spacing,Strain,Gumbel Mu,Gumbel Beta,Known Crack Strain
248,3e-05,30,15,90,2.5e-06,0.75,530173426.2472391,14010534.99516277,1.4405
249,3e-05,30,15,90,2.5e-06,1.0,593844208.3347278,14581501.931171335,1.4405
250,3e-05,30,15,90,2.5e-06,1.25,627470237.9116218,12997282.362646064,1.4405
251,3e-05,30,15,90,2.5e-06,1.5,647469822.026807,10902023.316404007,1.4405
252,3e-05,30,15,90,2.5e-06,1.75,674187858.5432265,11348164.06194876,1.4405
253,3e-05,30,15,90,2.5e-06,2.0,697216023.9702533,11748434.395335875,1.4405
254,3e-05,30,15,90,2.5e-06,2.25,716750298.7709794,11763930.594625052,1.4405
255,3e-05,30,15,90,2.5e-06,2.5,733010548.3298006,11298009.42687332,1.4405
256,3e-05,30,15,90,2.5e-06,2.75,745586608.9231367,10247136.30199049,1.4405
257,3e-05,30,15,90,2.5e-06,3.0,754777622.167556,9326398.85825098,1.4405
258,3e-05,30,15,90,2.5e-06,3.25,761689004.1958243,8725947.416058553,1.4405
259,3e-05,30,15,90,2.5e-06,3.5,767096039.3739998,8374570.766363658,1.4405
260,3e-05,30,15,90,2.5e-06,3.75,771472751.498895,8118727.970881879,1.4405
261,3e-05,30,15,90,2.5e-06,4.0,775163485.8154554,7860567.219762505,1.4405
262,3e-05,30,15,90,2.5e-06,4.25,778358493.7747719,7605805.619602846,1.4405
263,3e-05,30,15,90,2.5e-06,4.5,781417507.8991147,7315468.177647183,1.4405
264,3e-05,30,15,90,2.5e-06,4.75,784254263.9190726,7282845.7127805315,1.4405
265,3e-05,30,15,90,2.5e-06,5.0,787218649.5782866,7559156.738283984,1.4405
266,3e-05,90,15,30,2.5e-06,0.25,123002907.60356772,2239068.5284040268,3.50025
267,3e-05,90,15,30,2.5e-06,0.5,245785577.61752626,4476091.298965743,3.50025
268,3e-05,90,15,30,2.5e-06,0.75,368239794.8799055,6710977.94737516,3.50025
269,3e-05,90,15,30,2.5e-06,1.0,489515009.5481376,8590373.66448652,3.50025
270,3e-05,90,15,30,2.5e-06,1.25,595596259.2216384,7785005.419059388,3.50025
271,3e-05,90,15,30,2.5e-06,1.5,641261066.0733238,3322226.3370204903,3.50025
272,3e-05,90,15,30,2.5e-06,1.75,659297427.4276407,4013554.5658434457,3.50025
273,3e-05,90,15,30,2.5e-06,2.0,675366670.5769866,5942681.713894473,3.50025
274,3e-05,90,15,30,2.5e-06,2.25,688883851.8125339,8200387.343618021,3.50025
275,3e-05,90,15,30,2.5e-06,2.5,701350315.5280936,11003144.62100463,3.50025
276,3e-05,90,15,30,2.5e-06,2.75,712324520.0883615,13871995.147714375,3.50025
277,3e-05,90,15,30,2.5e-06,3.0,722761582.4780684,16960599.82529773,3.50025
